Car Name,Year,Selling Price,Kilometer Driven,Fuel Type,Seller Type,Transminssion,Owner,KM Range,Car Age,Price per KM,Condition
Maruti 800 AC,2007,60000,70000,Petrol,Individual,Manual,First Owner,50–75k,18,0.8571428571428571,Old
Maruti Wagon R LXI Minor,2007,135000,50000,Petrol,Individual,Manual,First Owner,25–50k,18,2.7,Old
Hyundai Verna 1.6 SX,2012,600000,100000,Diesel,Individual,Manual,First Owner,75–100k,13,6.0,Old
Datsun RediGO T Option,2017,250000,46000,Petrol,Individual,Manual,First Owner,25–50k,8,5.434782608695652,New
Honda Amaze VX i-DTEC,2014,450000,141000,Diesel,Individual,Manual,Second Owner,100–150k,11,3.1914893617021276,Old
Maruti Alto LX BSIII,2007,140000,125000,Petrol,Individual,Manual,First Owner,100–150k,18,1.12,Old
Hyundai Xcent 1.2 Kappa S,2016,550000,25000,Petrol,Individual,Manual,First Owner,0–25k,9,22.0,New
Tata Indigo Grand Petrol,2014,240000,60000,Petrol,Individual,Manual,Second Owner,50–75k,11,4.0,Old
Hyundai Creta 1.6 VTVT S,2015,850000,25000,Petrol,Individual,Manual,First Owner,0–25k,10,34.0,Old
Maruti Celerio Green VXI,2017,365000,78000,CNG,Individual,Manual,First Owner,75–100k,8,4.67948717948718,New
Chevrolet Sail 1.2 Base,2015,260000,35000,Petrol,Individual,Manual,First Owner,25–50k,10,7.428571428571429,Old
Tata Indigo Grand Petrol,2014,250000,100000,Petrol,Individual,Manual,First Owner,75–100k,11,2.5,Old
Toyota Corolla Altis 1.8 VL CVT,2018,1650000,25000,Petrol,Dealer,Automatic,First Owner,0–25k,7,66.0,New
Maruti 800 AC,2007,60000,70000,Petrol,Individual,Manual,First Owner,50–75k,18,0.8571428571428571,Old
Maruti Wagon R LXI Minor,2007,135000,50000,Petrol,Individual,Manual,First Owner,25–50k,18,2.7,Old
Hyundai Verna 1.6 SX,2012,600000,100000,Diesel,Individual,Manual,First Owner,75–100k,13,6.0,Old
Datsun RediGO T Option,2017,250000,46000,Petrol,Individual,Manual,First Owner,25–50k,8,5.434782608695652,New
Honda Amaze VX i-DTEC,2014,450000,141000,Diesel,Individual,Manual,Second Owner,100–150k,11,3.1914893617021276,Old
Maruti Alto LX BSIII,2007,140000,125000,Petrol,Individual,Manual,First Owner,100–150k,18,1.12,Old
Hyundai Xcent 1.2 Kappa S,2016,550000,25000,Petrol,Individual,Manual,First Owner,0–25k,9,22.0,New
Tata Indigo Grand Petrol,2014,240000,60000,Petrol,Individual,Manual,Second Owner,50–75k,11,4.0,Old
Hyundai Creta 1.6 VTVT S,2015,850000,25000,Petrol,Individual,Manual,First Owner,0–25k,10,34.0,Old
Maruti Celerio Green VXI,2017,365000,78000,CNG,Individual,Manual,First Owner,75–100k,8,4.67948717948718,New
Chevrolet Sail 1.2 Base,2015,260000,35000,Petrol,Individual,Manual,First Owner,25–50k,10,7.428571428571429,Old
Tata Indigo Grand Petrol,2014,250000,100000,Petrol,Individual,Manual,First Owner,75–100k,11,2.5,Old
Toyota Corolla Altis 1.8 VL CVT,2018,1650000,25000,Petrol,Dealer,Automatic,First Owner,0–25k,7,66.0,New
Maruti Ciaz VXi Plus,2015,585000,24000,Petrol,Dealer,Manual,First Owner,0–25k,10,24.375,Old
Hyundai Venue SX Opt Diesel,2019,1195000,5000,Diesel,Dealer,Manual,First Owner,0–25k,6,239.0,New
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,390000,33000,Diesel,Individual,Manual,Second Owner,25–50k,12,11.818181818181818,Old
Jaguar XF 2.2 Litre Luxury,2014,1964999,28000,Diesel,Dealer,Automatic,First Owner,25–50k,11,70.17853571428572,Old
Mercedes-Benz New C-Class 220 CDI AT,2013,1425000,59000,Diesel,Dealer,Automatic,First Owner,50–75k,12,24.152542372881356,Old
Maruti Vitara Brezza ZDi Plus AMT,2018,975000,4500,Diesel,Dealer,Automatic,First Owner,0–25k,7,216.66666666666666,New
Audi Q5 2.0 TDI,2011,1190000,175900,Diesel,Dealer,Automatic,First Owner,150–200k,14,6.7652075042637865,Old
Honda City V MT,2018,930000,14500,Petrol,Dealer,Manual,First Owner,0–25k,7,64.13793103448276,New
Tata Tigor 1.2 Revotron XT,2018,525000,15000,Petrol,Individual,Manual,First Owner,0–25k,7,35.0,New
Audi A6 2.0 TDI  Design Edition,2013,1735000,50000,Diesel,Dealer,Automatic,First Owner,25–50k,12,34.7,Old
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2012,1375000,33800,Diesel,Dealer,Automatic,Second Owner,25–50k,13,40.680473372781066,Old
Skoda Superb Ambition 2.0 TDI CR AT,2011,450000,130400,Diesel,Dealer,Automatic,Second Owner,100–150k,14,3.450920245398773,Old
Toyota Corolla Altis G AT,2016,900000,50000,Petrol,Individual,Automatic,First Owner,25–50k,9,18.0,New
Toyota Innova 2.5 G (Diesel) 7 Seater,2015,1300000,80000,Diesel,Individual,Manual,First Owner,75–100k,10,16.25,Old
Jeep Compass 1.4 Sport Plus BSIV,2019,1400000,10000,Petrol,Individual,Manual,First Owner,0–25k,6,140.0,New
Mercedes-Benz E-Class E 200 CGI Elegance,2010,850000,119000,Petrol,Dealer,Automatic,First Owner,100–150k,15,7.142857142857143,Old
Hyundai i10 Magna 1.1L,2014,229999,60000,Petrol,Individual,Manual,Fourth & Above Owner,50–75k,11,3.8333166666666667,Old
BMW 3 Series 320d Sport Line,2013,1550000,75800,Diesel,Dealer,Automatic,Second Owner,75–100k,12,20.448548812664907,Old
Audi Q7 35 TDI Quattro Premium,2009,1250000,78000,Diesel,Dealer,Automatic,Third Owner,75–100k,16,16.025641025641026,Old
Hyundai Elantra CRDi S,2012,625000,40000,Diesel,Individual,Manual,First Owner,25–50k,13,15.625,Old
